"Service";"Work_accident";"Contrat";"Durée hebdo";"Salaire base mensuel";"%variable_moyen";"Augmentation";"Promotion";"Sexe";"Congé maternité A-1";"Tranche_Age";"Tranche_Ancienneté_an";"Tranche_Salaire base mensuel"
"Compta Finances";"Non";"CDI";35;1833.65;8;0;1;"H";0;"50-59";"6-10 ans";"0-2000€"
"Consultant";"Non";"CDI";35;1803.3167;8;1;0;"H";0;"30-39";"0-5 ans";"0-2000€"
"Consultant";"Non";"CDI";35;1774.5;16;1;0;"F";0;"40-49";"6-10 ans";"0-2000€"
"Compta Finances";"Non";"CDI";35;1772.9833;20;1;1;"H";0;"50-59";"16-20 ans";"0-2000€"
"Consultant";"Non";"CDI";24;1709.76;10;1;1;"H";0;"50-59";"11-15 ans";"0-2000€"
"Consultant";"Non";"CDI";35;1703.2167;39;1;0;"F";0;"40-49";"6-10 ans";"0-2000€"
"Consultant";"Non";"CDI";35;1697.15;17;1;0;"H";0;"50-59";"20 ans et plus";"0-2000€"
"Marketing";"Non";"CDI";35;1669.85;22;1;0;"H";0;"20-29";"11-15 ans";"0-2000€"
"Consultant";"Non";"CDI";35;1651.65;18;0;0;"H";0;"40-49";"16-20 ans";"0-2000€"
"Marketing";"Non";"CDI";35;1598.5667;18;0;1;"F";0;"30-39";"11-15 ans";"0-2000€"
"Commercial";"Non";"CDI";35;1590.9833;30;1;1;"H";0;"40-49";"11-15 ans";"0-2000€"
"Consultant";"Non";"CDI";24;1110.72;14;1;0;"H";0;"50-59";"6-10 ans";"0-2000€"
"Compta Finances";"Non";"CDI";24;1059.76;1;0;1;"F";0;"30-39";"11-15 ans";"0-2000€"
